Phylum,Class,Genus
Bacillariophyta,Bacillariophyceae,Navicula
Charophyta,Charophyceae,Chara
Charophyta,,Chara
Chlorarachniophyta,Chlorarachniophyceae,Lotharella
Chlorophyta,Bryopsidaceae,Bryopsis
Chlorophyta,Bryopsidophyceae,Avrainvillea
Chlorophyta,Bryopsidophyceae,Boodleopsis
Chlorophyta,Bryopsidophyceae,Bryopsis
Chlorophyta,Bryopsidophyceae,Callipsygma
Chlorophyta,Bryopsidophyceae,Caulerpa
Chlorophyta,Bryopsidophyceae,Caulerpella
Chlorophyta,Bryopsidophyceae,Chlorodesmis
Chlorophyta,Bryopsidophyceae,Codium
Chlorophyta,Bryopsidophyceae,Derbesia
Chlorophyta,Bryopsidophyceae,Dichotomosiphon
Chlorophyta,Bryopsidophyceae,Halicystis
Chlorophyta,Bryopsidophyceae,Halimeda
Chlorophyta,Bryopsidophyceae,Penicillus
Chlorophyta,Bryopsidophyceae,Pseudobryopsis
Chlorophyta,Bryopsidophyceae,Pseudocodium
Chlorophyta,Bryopsidophyceae,Rhipiliopsis
Chlorophyta,Bryopsidophyceae,Tydemania
Chlorophyta,Bryopsidophyceae,Udotea
Chlorophyta,Bryopsidophyceae,Rhipilia
Chlorophyta,Bryopsidophyceae,Ostreobium
Chlorophyta,Bryopsidophyceae,Pedobesia
Chlorophyta,Bryopsidophyceae,Pseudochlorodesmis
Chlorophyta,Bryopsidophyceae,Blastophysa
Chlorophyta,Bryopsidophyceae,Cladophora
Chlorophyta,Bryopsidophyceae,Chaetomorpha
Chlorophyta,Charophyceae,Chara
Chlorophyta,Charophyceae,Lamprothamnus
Chlorophyta,Charophyceae,Nitella
Chlorophyta,Charophyceae,Tolypella
Chlorophyta,Chlorophyceae,Bulbochaete
Chlorophyta,Chlorophyceae,Chaetophora
Chlorophyta,Chlorophyceae,Chlorochytrium
Chlorophyta,Chlorophyceae,Halochlorococcum
Chlorophyta,Chlorophyceae,Codiolum
Chlorophyta,Chlorophyceae,Draparnaldia
Chlorophyta,Chlorophyceae,Ecballocystis
Chlorophyta,Chlorophyceae,Ectochaete
Chlorophyta,Chlorophyceae,Endophyton
Chlorophyta,Chlorophyceae,Geminella
Chlorophyta,Chlorophyceae,Gloeocystis
Chlorophyta,Chlorophyceae,Hydrodictyon
Chlorophyta,Chlorophyceae,Internoretia
Chlorophyta,Chlorophyceae,Microspora
Chlorophyta,Chlorophyceae,Oedogonium
Chlorophyta,Chlorophyceae,Palmella
Chlorophyta,Chlorophyceae,Palmoclathrus
Chlorophyta,Chlorophyceae,Palmophyllum
Chlorophyta,Chlorophyceae,Pleurococcus
Chlorophyta,Chlorophyceae,Protococcus
Chlorophyta,Chlorophyceae,Scenedesmus
Chlorophyta,Chlorophyceae,Sporocladopsis
Chlorophyta,Chlorophyceae,Stigeoclonium
Chlorophyta,Chlorophyceae,Tetraspora
Chlorophyta,Chlorophyceae,Volvox
Chlorophyta,Chlorophyceae,Gloeotila
Chlorophyta,Chlorophyceae,Endoderma
Chlorophyta,Cladophoraceae,Cladophora
Chlorophyta,Codiaceae,Codium
Chlorophyta,Monostromataceae,Monostroma
Chlorophyta,Phaeophyceae,Acrosiphonia
Chlorophyta,Phaeophyceae,Fucus
Chlorophyta,Pleurastrophyceae,Schizogonium
Chlorophyta,Prasinophyceae,Tetraselmis
Chlorophyta,Siphonocladophyceae,Chaetomorpha
Chlorophyta,Siphonocladophyceae,Cladophora
Chlorophyta,Siphonocladophyceae,Codium
Chlorophyta,Siphonocladophyceae,Rhizoclonium
Chlorophyta,Trebouxiophyceae,Rosenvingiella
Chlorophyta,Trebouxiophyceae,Prasiola
Chlorophyta,Trebouxiophyceae,Coccomyxa
Chlorophyta,Trebouxiophyceae,Kryobacillum
Chlorophyta,Ulotrichaceae,Urospora
Chlorophyta,Ulvophyceae,Acrochaete
Chlorophyta,Ulvophyceae,Acrosiphonia
Chlorophyta,Ulvophyceae,Acetabularia
Chlorophyta,Ulvophyceae,Aegagropila
Chlorophyta,Ulvophyceae,Anadyomene
Chlorophyta,Ulvophyceae,Apjohnia
Chlorophyta,Ulvophyceae,Batophora
Chlorophyta,Ulvophyceae,Blidingia
Chlorophyta,Ulvophyceae,Boergesenia
Chlorophyta,Ulvophyceae,Bolbocoleon
Chlorophyta,Ulvophyceae,Boodlea
Chlorophyta,Ulvophyceae,Bornetella
Chlorophyta,Ulvophyceae,Capsosiphon
Chlorophyta,Ulvophyceae,Chaetomorpha
Chlorophyta,Ulvophyceae,Chaetomorphopsis
Chlorophyta,Ulvophyceae,Chamaedoris
Chlorophyta,Ulvophyceae,Spongomorpha
Chlorophyta,Ulvophyceae,Cladophora
Chlorophyta,Ulvophyceae,Cladophoropsis
Chlorophyta,Ulvophyceae,Enteromorpha
Chlorophyta,Ulvophyceae,Collinsiella
Chlorophyta,Ulvophyceae,Rhizoclonium
Chlorophyta,Ulvophyceae,Cymopolia
Chlorophyta,Ulvophyceae,Dasycladus
Chlorophyta,Ulvophyceae,Dictyosphaeria
