Genus,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,taxon nuame for relation
Eichleriella,spinulosa,(Berk. & Curt) Burt,NA,NA,NA,NA,Eichleriella spinulosa
Abrothallus,parmeliarum,(Sommerf.) Nyl.,NA,NA,NA,NA,Abrothallus parmeliarum
Absidia,cylindrophora,Hagem.,NA,NA,NA,NA,Absidia cylindrophora
Acantharia,echinata,(E. & E.) Sydow,NA,NA,NA,NA,Acantharia echinata
Acanthonitschkea,coloradensis,Cash & Davidson.,NA,NA,NA,NA,Acanthonitschkea coloradensis
Acanthorhynchus,vaccinii,Shear.,NA,NA,NA,NA,Acanthorhynchus vaccinii
Acetabula,vulgaris,Fuckel,NA,NA,NA,NA,Acetabula vulgaris
Acladium,conspersum,Link.,NA,NA,NA,NA,Acladium conspersum
Acladium,simile,(Berk.) Hughes.,NA,NA,NA,NA,Acladium simile
Acremoniella,atra,(Corda) Sacc.,NA,NA,NA,NA,Acremoniella atra
Acrospermum,compressum,Tode.,NA,NA,NA,NA,Acrospermum compressum
Actinonema,aquilegiae,Grove.,NA,NA,NA,NA,Actinonema aquilegiae
Actinonema,rosae,Fries,NA,NA,NA,NA,Actinonema rosae
Actinopelte,dryina,(Sacc.) Hoehn.,NA,NA,NA,NA,Actinopelte dryina
Adelopus,gaumannii,Rohde.,NA,NA,NA,NA,Adelopus gaumannii
Aecidium,apocyni,Schw.,NA,NA,NA,NA,Aecidium apocyni
Aecidium,orobi,C.,NA,NA,NA,NA,Aecidium orobi
Aecidium,porosum,Pk.,NA,NA,NA,NA,Aecidium porosum
Agaricostilbum,hyphaenes,(Har. & Pat.) Oberw. & Bandoni,NA,NA,NA,NA,Agaricostilbum hyphaenes
Agaricostilbum,hyphaenes,(Hor. & Pat.) Oberw. & Bandoni,NA,NA,NA,NA,Agaricostilbum hyphaenes
Agaricostilbum,palmicola,Wright,NA,NA,NA,NA,Agaricostilbum palmicola
Agaricus,albolutescens,Zeller,NA,NA,NA,NA,Agaricus albolutescens
Agaricus,augustus,Pers.,NA,NA,NA,NA,Agaricus augustus
Agaricus,arvensis,Fr.,NA,NA,NA,NA,Agaricus arvensis
Agaricus,augustus,Schaeff. Ex Fr.,NA,NA,NA,NA,Agaricus augustus
Agaricus,bisporus,(J. Lange) Pilat,NA,NA,NA,NA,Agaricus bisporus
Agaricus,brunnescens,Peck,NA,NA,NA,NA,Agaricus brunnescens
Agaricus,campestris,Fr.,NA,NA,NA,NA,Agaricus campestris
Agaricus,edulis,(Vitt.) Moeller & Schaeffer.,NA,NA,NA,NA,Agaricus edulis
Agaricus,haemorrhoidarius,Kalchbr. & Schulz.,NA,NA,NA,NA,Agaricus haemorrhoidarius
Agaricus,hondensis,Murr.,NA,NA,NA,NA,Agaricus hondensis
Agaricus,hondensis,Murrill,NA,NA,NA,NA,Agaricus hondensis
Agaricus,hondensis,Murril.,NA,NA,NA,NA,Agaricus hondensis
Agaricus,meleagris,J. Shaffer,NA,NA,NA,NA,Agaricus meleagris
Agaricus,meleagris,J. Schaeff.,NA,NA,NA,NA,Agaricus meleagris
Agaricus,micromegathus,Peck,NA,NA,NA,NA,Agaricus micromegathus
Agaricus,micromegathus,Peck.,NA,NA,NA,NA,Agaricus micromegathus
Agrocybe,pediades,(Fr.) Fayod.,NA,NA,NA,NA,Agrocybe pediades
Agaricus,perobscurus,Kerrigan,NA,NA,NA,NA,Agaricus perobscurus
Agaricus,placomyces,Peck.,NA,NA,NA,NA,Agaricus placomyces
Agaricus,placomyces,Pk.,NA,NA,NA,NA,Agaricus placomyces
Agrocybe,praecox,(Pers.) Fr.,NA,NA,NA,NA,Agrocybe praecox
Agaricus,praecox,(Pers.) Fr.,NA,NA,NA,NA,Agaricus praecox
Agaricus,purpurellus,(Muell.) Muell.,NA,NA,NA,NA,Agaricus purpurellus
Agaricus,rodmani,Peck,NA,NA,NA,NA,Agaricus rodmani
Agaricus,subperonata,Lange,NA,NA,NA,NA,Agaricus subperonata
Agaricus,sylvicola,(Witt.) Fries,NA,NA,NA,NA,Agaricus sylvicola
Agaricus,sylvicola,(Wilt.) Fries.,NA,NA,NA,NA,Agaricus sylvicola
Agrocybe,acericola,Peck,NA,NA,NA,NA,Agrocybe acericola
Agrocybe,acericola,Peck.,NA,NA,NA,NA,Agrocybe acericola
Agrocybe,erebia,(Fr.) Kuhner,NA,NA,NA,NA,Agrocybe erebia
Agrocybe,arvalis,(Fr.) Singer,NA,NA,NA,NA,Agrocybe arvalis
Agrocybe,erebia,(Fr.) Kubner,NA,NA,NA,NA,Agrocybe erebia
Agrocybe,arvalis,(Fr.) Sing.,NA,NA,NA,NA,Agrocybe arvalis
Agrocybe,erebia,(Fries) Kuehner,NA,NA,NA,NA,Agrocybe erebia
Agrocybe,erebia,(Fr.) Kummer,NA,NA,NA,NA,Agrocybe erebia
Agrocybe,praecox,Pers. Ex Fr.,NA,NA,NA,NA,Agrocybe praecox
Agrocybe,praecox,(Fr.) Fayod,NA,NA,NA,NA,Agrocybe praecox
Agrocybe,praecox,(Pers. Ex Fr.) Fayod.,NA,NA,NA,NA,Agrocybe praecox
Agrocybe,vermiflua,Peck.,NA,NA,NA,NA,Agrocybe vermiflua
Alatospora,acuminata,Ingold,NA,NA,NA,NA,Alatospora acuminata
Albatrellus,confluens,(Fr.) Klot. & Pov.,NA,NA,NA,NA,Albatrellus confluens
Albatrellus,ellissii,(Berk.) Pouz.,NA,NA,NA,NA,Albatrellus ellissii
Albatrellus,flettii,(Morse) Pouzar,NA,NA,NA,NA,Albatrellus flettii
Albatrellus,flettii,(Morse) Pouzar.,NA,NA,NA,NA,Albatrellus flettii
Albatrellus,ovinus,(Fr.) Kotlaba & Pouzar,NA,NA,NA,NA,Albatrellus ovinus
Albugo,candida,(Pers.) Roussel,NA,NA,NA,NA,Albugo candida
Aleuria,aurantia,(Pers.) Fuckel.,NA,NA,NA,NA,Aleuria aurantia
Aleuria,aurantia,(Fr.) Fuckel,NA,NA,NA,NA,Aleuria aurantia
Aleuria,rutilans,(Fr.) Gill.,NA,NA,NA,NA,Aleuria rutilans
Aleurina,atrovinosa,(Cooke) Seaver,NA,NA,NA,NA,Aleurina atrovinosa
Aleurocorticium,nivosum,(B. & C. Ex Hobm. & Litad) Lempke.,NA,NA,NA,NA,Aleurocorticium nivosum
Aleurocystidiellum,subcruentatum,(Berk. & Curt.) Lemke,NA,NA,NA,NA,Aleurocystidiellum subcruentatum
Aleurocystidiellum,subcruentatum,(B.& C.) Lemb,NA,NA,NA,NA,Aleurocystidiellum subcruentatum
Aleurodiscus,amorphus,(Pers.:Fr.) Schrof.,NA,NA,NA,NA,Aleurodiscus amorphus
Aleurodiscus,amorphus,(Pers.) Rab. Ex Cooke,NA,NA,NA,NA,Aleurodiscus amorphus
Aleurodiscus,amorphus,(Pers.) Rabenh.,NA,NA,NA,NA,Aleurodiscus amorphus
Aleurodiscus,amorphus,(Purt.) Schroet.,NA,NA,NA,NA,Aleurodiscus amorphus
Aleurodiscus,cerussatus,(Bres.) H. & L.,NA,NA,NA,NA,Aleurodiscus cerussatus
Aleurodiscus,disciformis,(Dc.) Pat.,NA,NA,NA,NA,Aleurodiscus disciformis
Aleurodiscus,farlowii,Burt,NA,NA,NA,NA,Aleurodiscus farlowii
Aleurodiscus,griseocanus,(Bres.) H. & L.,NA,NA,NA,NA,Aleurodiscus griseocanus
Aleurodiscus,livido-coeruleus,(Karst) Donk.,NA,NA,NA,NA,Aleurodiscus livido-coeruleus
Aleurodiscus,nivosus,Berk. & Curt.,NA,NA,NA,NA,Aleurodiscus nivosus
Aleurodiscus,oaksii,(B. & C.) Cke.,NA,NA,NA,NA,Aleurodiscus oaksii
Aleurodiscus,penicillatus,Burt.,NA,NA,NA,NA,Aleurodiscus penicillatus
Aleurodiscus,penicillatus,Burt,NA,NA,NA,NA,Aleurodiscus penicillatus
Aleurodiscus,tsugae,Yasuka,NA,NA,NA,NA,Aleurodiscus tsugae
Aliquandostipite,khaoyaiensis,Inderb.,NA,NA,NA,NA,Aliquandostipite khaoyaiensis
Aliquandostipite,sunyatsenii,Inderb.,NA,NA,NA,NA,Aliquandostipite sunyatsenii
Allantonectria,yuccae,Earle,NA,NA,NA,NA,Allantonectria yuccae
Alpova,diplophloeus,(Zeller & Dodge) Trappe,NA,NA,NA,NA,Alpova diplophloeus
Alternaria,brassicae,(Berk.) Sacc.,NA,NA,NA,NA,Alternaria brassicae
Alternaria,Brassicae,(Berk.) Sacc.,NA,NA,NA,NA,Alternaria Brassicae
Alternaria,brassicicola,(Schw.) Wilts.,NA,NA,NA,NA,Alternaria brassicicola
Alternaria,consortiale,(Thum.) Groves & Hughes,NA,NA,NA,NA,Alternaria consortiale
Alternaria,cucumerina,(Ell. & Ev.) Elliott,NA,NA,NA,NA,Alternaria cucumerina
Alternaria,cucumerina,Ell. & Arth.,NA,NA,NA,NA,Alternaria cucumerina
Alternaria,dauci,(Kuehn.) Groves & Skolko.,NA,NA,NA,NA,Alternaria dauci
Alternaria,fasciculata,(Cke. & Ell.) Jones & Grout.,NA,NA,NA,NA,Alternaria fasciculata
Alternaria,oleracea,Milbrath,NA,NA,NA,NA,Alternaria oleracea
