Phylum,Class,Genus,Cabinet
Ascomycota,Arthoniomycetes,Mazosia,36.10
Ascomycota,Arthoniomycetes,Opegrapha,36.10
Ascomycota,Dothideomycetes,Abrothallus,36.14
Ascomycota,Dothideomycetes,Acantharia,36.10
Ascomycota,Dothideomycetes,Acrospermum,36.10
Ascomycota,Dothideomycetes,Actinonema,36.14
Ascomycota,Dothideomycetes,Adelopus,36.10
Ascomycota,Dothideomycetes,Alternaria,36.10
Ascomycota,Dothideomycetes,Ampelomyces,36.10
Ascomycota,Dothideomycetes,Antennularia,36.10
Ascomycota,Dothideomycetes,Apiosporina,36.10
Ascomycota,Dothideomycetes,Aplosporella,36.11
Ascomycota,Dothideomycetes,Ascochyta,36.10
Ascomycota,Dothideomycetes,Ascospora,36.14
Ascomycota,Dothideomycetes,Asteromella,36.10
Ascomycota,Dothideomycetes,Aulographum,36.10
Ascomycota,Dothideomycetes,Bactrodesmium,36.10
Ascomycota,Dothideomycetes,Berkleasmium,36.10
Ascomycota,Dothideomycetes,Bipolaris,36.10
Ascomycota,Dothideomycetes,Bitancourtia,36.10
Ascomycota,Dothideomycetes,Botryosphaeria,36.10
Ascomycota,Dothideomycetes,Brefeldiella,36.10
Ascomycota,Dothideomycetes,Camarosporium,36.10
Ascomycota,Dothideomycetes,Capnobotrys,36.10
Ascomycota,Dothideomycetes,Capnodium,36.10
Ascomycota,Dothideomycetes,Catenuloxyphium,36.14
Ascomycota,Dothideomycetes,Cercoseptoria,36.10
Ascomycota,Dothideomycetes,Cercospora,36.10
Ascomycota,Dothideomycetes,Cercosporella,"36.14, 36.10"
Ascomycota,Dothideomycetes,Cerebella,36.10
Ascomycota,Dothideomycetes,Chaetasbolisia,36.14
Ascomycota,Dothideomycetes,Cheiromyces,36.14
Ascomycota,Dothideomycetes,Cicinnobolus,36.10
Ascomycota,Dothideomycetes,Cladosporium,36.11
Ascomycota,Dothideomycetes,Clavariopsis,36.10
Ascomycota,Dothideomycetes,Cochliobolus,36.11
Ascomycota,Dothideomycetes,Coleroa,36.11
Ascomycota,Dothideomycetes,Conidiocarpus,"36,11, 36.11"
Ascomycota,Dothideomycetes,Coniothyriopsis,36.11
Ascomycota,Dothideomycetes,Coniothyrium,36.11
Ascomycota,Dothideomycetes,Corynespora,36.11
Ascomycota,Dothideomycetes,Crivellia,36.11
Ascomycota,Dothideomycetes,Cucurbidothis,36.11
Ascomycota,Dothideomycetes,Cucurbitaria,36.11
Ascomycota,Dothideomycetes,Curvularia,36.11
Ascomycota,Dothideomycetes,Cymadothea,36.11
Ascomycota,Dothideomycetes,Darluca,36.11
Ascomycota,Dothideomycetes,Dendryphion,36.11
Ascomycota,Dothideomycetes,Dendryphiopsis,36.11
Ascomycota,Dothideomycetes,Dibotryon,36.11
Ascomycota,Dothideomycetes,Dictyosporium,36.11
Ascomycota,Dothideomycetes,Didymella,36.11
Ascomycota,Dothideomycetes,Didymellina,36.11
Ascomycota,Dothideomycetes,Didymosphaeria,36.11
Ascomycota,Dothideomycetes,Dilophospora,36.11
Ascomycota,Dothideomycetes,Dimeriella,36.11
Ascomycota,Dothideomycetes,Dimerium,36.11
Ascomycota,Dothideomycetes,Dimerosporium,36.11
Ascomycota,Dothideomycetes,Diplodia,36.11
Ascomycota,Dothideomycetes,Dothichiza,36.11
Ascomycota,Dothideomycetes,Dothidella,36.11
Ascomycota,Dothideomycetes,Dothiora,36.11
Ascomycota,Dothideomycetes,Dothiorella,36.11
Ascomycota,Dothideomycetes,Dothistroma,36.11
Ascomycota,Dothideomycetes,Drechslera,36.11
Ascomycota,Dothideomycetes,Elsinoe,36.11
Ascomycota,Dothideomycetes,Englerula,36.11
Ascomycota,Dothideomycetes,Epicoccum,36.11
Ascomycota,Dothideomycetes,Epipolaeum,36.11
Ascomycota,Dothideomycetes,Fenestella,36.11
Ascomycota,Dothideomycetes,Fumiglobus,"TYPE, 36.11"
Ascomycota,Dothideomycetes,Fusicladium,36.11
Ascomycota,Dothideomycetes,Gibbera,36.11
Ascomycota,Dothideomycetes,Gibberidea,36.11
Ascomycota,Dothideomycetes,Glonium,36.11
Ascomycota,Dothideomycetes,Guignardia,36.11
Ascomycota,Dothideomycetes,Helicoma,36.11
Ascomycota,Dothideomycetes,Helicomyces,36.11
Ascomycota,Dothideomycetes,Helicosporium,36.11
Ascomycota,Dothideomycetes,Helminthosporium,36.11
Ascomycota,Dothideomycetes,Hendersonia,36.11
Ascomycota,Dothideomycetes,Herpotrichia,36.11
Ascomycota,Dothideomycetes,Heterosporium,36.11
Ascomycota,Dothideomycetes,Hormiscium,36.14
Ascomycota,Dothideomycetes,Hormodendrum,36.11
Ascomycota,Dothideomycetes,Hysterium,36.11
Ascomycota,Dothideomycetes,Hysterographium,36.11
Ascomycota,Dothideomycetes,Hysteropatella,36.11
Ascomycota,Dothideomycetes,Isariopsis,36.11
Ascomycota,Dothideomycetes,Isthmospora,36.11
Ascomycota,Dothideomycetes,Kabatia,36.11
Ascomycota,Dothideomycetes,Kalmusia,36.11
Ascomycota,Dothideomycetes,Kellermania,36.11
Ascomycota,Dothideomycetes,Kirschsteiniella,36.11
Ascomycota,Dothideomycetes,Lasiobotrys,36.11
Ascomycota,Dothideomycetes,Laterotheca,36.11
Ascomycota,Dothideomycetes,Lembosina,36.11
Ascomycota,Dothideomycetes,Leptosphaeria,36.11
Ascomycota,Dothideomycetes,Leptosphaerulina,36.11
Ascomycota,Dothideomycetes,Leptothyrium,36.14
Ascomycota,Dothideomycetes,Lichenopeltella,36.11
Ascomycota,Dothideomycetes,Limacinia,36.14
Ascomycota,Dothideomycetes,Lophidium,36.11
Ascomycota,Dothideomycetes,Lophiostoma,36.11
Ascomycota,Dothideomycetes,Lophiotrema,36.11
Ascomycota,Dothideomycetes,Lophium,36.11
Ascomycota,Dothideomycetes,Macrophoma,36.11
Ascomycota,Dothideomycetes,Macrosporium,36.11
Ascomycota,Dothideomycetes,Massaria,36.11
Ascomycota,Dothideomycetes,Massarina,36.11
Ascomycota,Dothideomycetes,Massariosphaeria,36.11
Ascomycota,Dothideomycetes,Melanomma,36.11
Ascomycota,Dothideomycetes,Meliolina,36.14
